Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
SYY,Sysco Corporation,75.98,-0.13144059,-0.1,Buy,2060983,156593488.34,38497722993.57888,25.11818573,3.0404,71000,Transportation
AIG,"American International Group, Inc. New",53.1,-1.20930233,-0.65,Buy,4876269,258929883.9,38431257879.41582,4.15362954,12.9339,26200,Finance
PCAR,PACCAR Inc.,73.33,0.75570212,0.55,Buy,2134844,156548110.52,38320720399.47184,12.21067706,6.0146,31100,Producer Manufacturing
NEM,Newmont Corporation,48.15,-0.2899151,-0.14,Sell,4898556,235865471.4,38265391142.74281,,-0.6625,32400,Non-Energy Minerals
TFC,Truist Financial Corporation,28.6,-0.52173913,-0.15,Sell,10184061,291264144.6,38092850414.99827,6.36729969,4.5257,52848,Finance
XEL,Xcel Energy Inc.,69.11,-0.30294287,-0.21,Sell,2102806,145324922.66,38035125331.62853,21.36982066,3.234,11982,Utilities
DOW,Dow Inc.,53.67,-0.88642659,-0.48,Sell,3285273,176320601.91,37961587423.15458,13.41112971,4.03,37800,Process Industries
CPRT,"Copart, Inc.",79.5,0.10073029,0.08,Buy,1585606,126055677,37889105205.46462,35.41202673,2.2739,9500,Commercial Services
MSCI,MSCI Inc,472.87,-0.0021147,-0.01,Sell,353770,167287219.9,37859580475.98905,43.3515466,10.963,4759,Technology Services
KMI,"Kinder Morgan, Inc.",16.85,-0.29585799,-0.05,Sell,7623884,128462445.4,37764452810.16865,14.91150442,1.13,10525,Industrial Services
A,"Agilent Technologies, Inc.",127.35,-3.85050963,-5.1,Sell,3437064,437710100.4,37657628872.09739,28.7426366,4.4528,18100,Health Technology
SGEN,Seagen Inc.,200,0.89290218,1.77,Buy,996013,199202600,37500795700.95344,,-3.496,3256,Health Technology
DHI,"D.R. Horton, Inc.",108.99,0.4516129,0.49,Buy,2225475,242554520.25,37173349816.78065,7.34993627,14.941,13237,Consumer Durables
CNC,Centene Corporation,67.62,-0.96660808,-0.66,Sell,2081355,140741225.10000002,37107774403.27066,25.64958465,2.6623,74300,Health Services
LNG,"Cheniere Energy, Inc.",149.58,0.09368308,0.14,Sell,1134399,169683402.42000002,36341685308.15028,4.78827612,31.5841,1551,Energy Minerals
SQ,"Block, Inc.",59.32,0.88435374,0.52,Sell,8384487,497367768.84,35883337769.20681,,-0.9498,12428,Technology Services
WMB,"Williams Companies, Inc. (The)",29.45,-0.37212449,-0.11,Sell,5122668,150862572.6,35875610441.705,13.90200151,2.1274,5043,Energy Minerals
LHX,"L3Harris Technologies, Inc.",188.87,0.85976717,1.61,Sell,838480,158363717.6,35782056780.37248,39.44900474,4.8369,46000,Electronic Technology
CARR,Carrier Global Corporation,42.78,0.42253521,0.18,Neutral,5663059,242265664.02,35714374125.87465,14.49923742,3.01,52000,Producer Manufacturing
ROST,"Ross Stores, Inc.",104.08,-0.71544405,-0.75,Sell,2045312,212876072.96,35600401361.96891,23.74466726,4.4057,101000,Retail Trade
APO,"Apollo Global Management, Inc. (New)",62.26,0.69545528,0.43,Neutral,4202683,261659043.58,35528819774.32605,,-5.5669,2540,Finance
OTIS,Otis Worldwide Corporation,85.45,-0.36147388,-0.31,Buy,1293111,110496334.95,35315746849.89971,28.22460776,3.0492,69000,Producer Manufacturing
NUE,Nucor Corporation,140.17,-1.02386669,-1.45,Sell,1622270,227393585.89999995,35312923192.22702,5.49404032,25.5815,31400,Non-Energy Minerals
KR,Kroger Company (The),49.16,0.02034588,0.01,Strong Buy,3842010,188873211.6,35270707836.12615,16.0763923,3.0971,430000,Retail Trade
GEHC,GE HealthCare Technologies Inc.,76.37,-3.84034248,-3.05,Sell,2499728,190904227.36,34723700483.39512,,,50000,Health Technology
IQV,"IQVIA Holdings, Inc.",186.01,-2.00716468,-3.81,Sell,1286397,239282705.97,34513992778.97725,33.39677182,5.6548,86000,Health Services
EA,Electronic Arts Inc.,125.41,-0.27830789,-0.35,Sell,2916385,365743842.85,34390883912.33573,33.82785315,3.7301,12900,Technology Services
ODFL,"Old Dominion Freight Line, Inc.",312.15,0.16365037,0.51,Sell,619993,193530814.95,34344751184.03109,25.6774098,12.2362,23471,Transportation
GWW,"W.W. Grainger, Inc.",684.51,0.92742768,6.29,Strong Buy,192825,131990640.75,34339788060.26527,20.89060745,32.9608,26000,Distribution Services
DLTR,"Dollar Tree, Inc.",155.17,-0.23788093,-0.37,Strong Buy,992276,153971466.92,34323289507.9006,21.54091761,7.2325,207500,Retail Trade
